e = 0.450000, s1 = 5.000000, s2 = 0.300000, (6, 1, 8) 
e = 0.450000, s1 = 9.000000, s2 = 0.400000, (6, 5, 7) 
e = 0.450000, s1 = 11.000000, s2 = 0.600000, (6, 7, 5) 
e = 0.450000, s1 = 11.000000, s2 = 0.500000, (6, 7, 6) 
e = 0.450000, s1 = 13.000000, s2 = 1.000000, (6, 9, 1) 
e = 0.450000, s1 = 13.000000, s2 = 0.900000, (6, 9, 2) 
e = 0.450000, s1 = 13.000000, s2 = 0.300000, (6, 9, 8) 
e = 0.450000, s1 = 16.000000, s2 = 0.900000, (6, 12, 2) 
e = 0.450000, s1 = 16.000000, s2 = 0.800000, (6, 12, 3) 
e = 0.450000, s1 = 16.000000, s2 = 0.500000, (6, 12, 6) 
e = 0.450000, s1 = 16.000000, s2 = 0.400000, (6, 12, 7) 
e = 0.450000, s1 = 16.000000, s2 = 0.300000, (6, 12, 8) 
e = 0.450000, s1 = 16.000000, s2 = 0.100000, (6, 12, 10) 
e = 0.450000, s1 = 17.000000, s2 = 0.600000, (6, 13, 5) 
e = 0.450000, s1 = 19.000000, s2 = 0.700000, (6, 15, 4) 
e = 0.450000, s1 = 19.000000, s2 = 0.400000, (6, 15, 7) 
e = 0.450000, s1 = 19.000000, s2 = 0.100000, (6, 15, 10) 
e = 0.450000, s1 = 20.000000, s2 = 0.200000, (6, 16, 9) 
e = 0.450000, s1 = 20.000000, s2 = 0.100000, (6, 16, 10) 
e = 0.450000, s1 = 21.000000, s2 = 0.100000, (6, 17, 10) 
e = 0.450000, s1 = 23.000000, s2 = 1.000000, (6, 19, 1) 
e = 0.450000, s1 = 23.000000, s2 = 0.900000, (6, 19, 2) 
e = 0.450000, s1 = 23.000000, s2 = 0.800000, (6, 19, 3) 
e = 0.450000, s1 = 23.000000, s2 = 0.700000, (6, 19, 4) 
e = 0.450000, s1 = 24.000000, s2 = 0.900000, (6, 20, 2) 
e = 0.450000, s1 = 24.000000, s2 = 0.400000, (6, 20, 7) 
e = 0.450000, s1 = 26.000000, s2 = 0.900000, (6, 22, 2) 
e = 0.450000, s1 = 26.000000, s2 = 0.800000, (6, 22, 3) 
e = 0.450000, s1 = 26.000000, s2 = 0.600000, (6, 22, 5) 
e = 0.450000, s1 = 26.000000, s2 = 0.500000, (6, 22, 6) 
e = 0.450000, s1 = 26.000000, s2 = 0.300000, (6, 22, 8) 
e = 0.450000, s1 = 26.000000, s2 = 0.200000, (6, 22, 9) 
e = 0.450000, s1 = 27.000000, s2 = 0.200000, (6, 23, 9) 
e = 0.450000, s1 = 28.000000, s2 = 0.600000, (6, 24, 5) 
e = 0.450000, s1 = 28.000000, s2 = 0.200000, (6, 24, 9) 
e = 0.450000, s1 = 29.000000, s2 = 1.000000, (6, 25, 1) 
e = 0.450000, s1 = 29.000000, s2 = 0.900000, (6, 25, 2) 
e = 0.450000, s1 = 29.000000, s2 = 0.600000, (6, 25, 5) 
e = 0.450000, s1 = 30.000000, s2 = 0.800000, (6, 26, 3) 
e = 0.450000, s1 = 30.000000, s2 = 0.400000, (6, 26, 7) 
e = 0.450000, s1 = 30.000000, s2 = 0.300000, (6, 26, 8) 
e = 0.550000, s1 = 5.000000, s2 = 0.500000, (8, 1, 6) 
e = 0.550000, s1 = 6.000000, s2 = 0.300000, (8, 2, 8) 
e = 0.550000, s1 = 8.000000, s2 = 0.600000, (8, 4, 5) 
e = 0.550000, s1 = 8.000000, s2 = 0.500000, (8, 4, 6) 
e = 0.550000, s1 = 8.000000, s2 = 0.200000, (8, 4, 9) 
e = 0.550000, s1 = 10.000000, s2 = 0.600000, (8, 6, 5) 
e = 0.550000, s1 = 11.000000, s2 = 0.700000, (8, 7, 4) 
e = 0.550000, s1 = 12.000000, s2 = 0.700000, (8, 8, 4) 
e = 0.550000, s1 = 15.000000, s2 = 0.800000, (8, 11, 3) 
e = 0.550000, s1 = 16.000000, s2 = 0.900000, (8, 12, 2) 
e = 0.550000, s1 = 16.000000, s2 = 0.100000, (8, 12, 10) 
e = 0.550000, s1 = 17.000000, s2 = 0.300000, (8, 13, 8) 
e = 0.550000, s1 = 19.000000, s2 = 0.900000, (8, 15, 2) 
e = 0.550000, s1 = 21.000000, s2 = 0.500000, (8, 17, 6) 
e = 0.550000, s1 = 22.000000, s2 = 0.900000, (8, 18, 2) 
e = 0.600000, s1 = 7.000000, s2 = 0.900000, (9, 3, 2) 
e = 0.600000, s1 = 10.000000, s2 = 1.000000, (9, 6, 1) 
e = 0.600000, s1 = 22.000000, s2 = 0.900000, (9, 18, 2) 
e = 0.600000, s1 = 25.000000, s2 = 0.900000, (9, 21, 2) 
e = 0.600000, s1 = 28.000000, s2 = 0.900000, (9, 24, 2) 
e = 0.650000, s1 = 6.000000, s2 = 0.900000, (10, 2, 2) 
e = 0.750000, s1 = 7.000000, s2 = 0.900000, (12, 3, 2) 
e = 0.750000, s1 = 18.000000, s2 = 1.000000, (12, 14, 1) 
e = 0.750000, s1 = 22.000000, s2 = 1.000000, (12, 18, 1) 
e = 0.800000, s1 = 7.000000, s2 = 0.900000, (13, 3, 2) 
e = 0.800000, s1 = 7.000000, s2 = 0.800000, (13, 3, 3) 
e = 0.800000, s1 = 7.000000, s2 = 0.700000, (13, 3, 4) 
e = 0.800000, s1 = 9.000000, s2 = 0.900000, (13, 5, 2) 
e = 0.800000, s1 = 21.000000, s2 = 0.900000, (13, 17, 2) 
e = 0.800000, s1 = 22.000000, s2 = 0.900000, (13, 18, 2) 
e = 0.800000, s1 = 26.000000, s2 = 0.900000, (13, 22, 2) 
e = 0.850000, s1 = 6.000000, s2 = 1.000000, (14, 2, 1) 
e = 0.850000, s1 = 8.000000, s2 = 0.800000, (14, 4, 3) 
e = 0.850000, s1 = 24.000000, s2 = 0.900000, (14, 20, 2) 
e = 0.900000, s1 = 6.000000, s2 = 0.800000, (15, 2, 3) 
e = 0.900000, s1 = 12.000000, s2 = 0.900000, (15, 8, 2) 
e = 0.900000, s1 = 13.000000, s2 = 0.900000, (15, 9, 2) 
e = 0.900000, s1 = 15.000000, s2 = 0.900000, (15, 11, 2) 
e = 0.900000, s1 = 18.000000, s2 = 0.900000, (15, 14, 2) 
e = 0.900000, s1 = 20.000000, s2 = 0.900000, (15, 16, 2) 
e = 0.900000, s1 = 29.000000, s2 = 0.900000, (15, 25, 2) 
e = 0.950000, s1 = 7.000000, s2 = 1.000000, (16, 3, 1) 
